id,mz,mz_range:min,mz_range:max,rt,rt_range:min,rt_range:max,ion_mobility_range:min,ion_mobility_range:max,ccs,ion_mobility_unit,area,height,intensity_range:min,intensity_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,preferred_annotation:compound_name,preferred_annotation:mol_formula,preferred_annotation:adduct,preferred_annotation:score,preferred_annotation:precursor_mz,preferred_annotation:annotation_method,lipid_annotations:lipid_annotations,lipid_annotations:ion_adduct,lipid_annotations:mol_formula,lipid_annotations:mz_diff_ppm,lipid_annotations:explained_intensity_percent,feature_group,ion_mobility,datafile:Sample1:feature_state,datafile:Sample1:mz,datafile:Sample1:mz_range:min,datafile:Sample1:mz_range:max,datafile:Sample1:rt,datafile:Sample1:rt_range:min,datafile:Sample1:rt_range:max,datafile:Sample1:fwhm,datafile:Sample1:ion_mobility_range:min,datafile:Sample1:ion_mobility_range:max,datafile:Sample1:ccs,datafile:Sample1:ion_mobility_unit,datafile:Sample1:area,datafile:Sample1:height,datafile:Sample1:intensity_range:min,datafile:Sample1:intensity_range:max,datafile:Sample1:charge,datafile:Sample1:fragment_scans,datafile:Sample1:isotopes,datafile:Sample1:tailing_factor,datafile:Sample1:asymmetry_factor,datafile:Sample1:ion_mobility,datafile:Sample1:msms_info,datafile:Sample1:rt_ms2_apex_distance,datafile:Sample2:feature_state,datafile:Sample2:mz,datafile:Sample2:mz_range:min,datafile:Sample2:mz_range:max,datafile:Sample2:rt,datafile:Sample2:rt_range:min,datafile:Sample2:rt_range:max,datafile:Sample2:fwhm,datafile:Sample2:ion_mobility_range:min,datafile:Sample2:ion_mobility_range:max,datafile:Sample2:ccs,datafile:Sample2:ion_mobility_unit,datafile:Sample2:area,datafile:Sample2:height,datafile:Sample2:intensity_range:min,datafile:Sample2:intensity_range:max,datafile:Sample2:charge,datafile:Sample2:fragment_scans,datafile:Sample2:isotopes,datafile:Sample2:tailing_factor,datafile:Sample2:asymmetry_factor,datafile:Sample2:ion_mobility,datafile:Sample2:msms_info,datafile:Sample2:rt_ms2_apex_distance,datafile:Sample3:feature_state,datafile:Sample3:mz,datafile:Sample3:mz_range:min,datafile:Sample3:mz_range:max,datafile:Sample3:rt,datafile:Sample3:rt_range:min,datafile:Sample3:rt_range:max,datafile:Sample3:fwhm,datafile:Sample3:ion_mobility_range:min,datafile:Sample3:ion_mobility_range:max,datafile:Sample3:ccs,datafile:Sample3:ion_mobility_unit,datafile:Sample3:area,datafile:Sample3:height,datafile:Sample3:intensity_range:min,datafile:Sample3:intensity_range:max,datafile:Sample3:charge,datafile:Sample3:fragment_scans,datafile:Sample3:isotopes,datafile:Sample3:tailing_factor,datafile:Sample3:asymmetry_factor,datafile:Sample3:ion_mobility,datafile:Sample3:msms_info,datafile:Sample3:rt_ms2_apex_distance,datafile:Sample4:feature_state,datafile:Sample4:mz,datafile:Sample4:mz_range:min,datafile:Sample4:mz_range:max,datafile:Sample4:rt,datafile:Sample4:rt_range:min,datafile:Sample4:rt_range:max,datafile:Sample4:fwhm,datafile:Sample4:ion_mobility_range:min,datafile:Sample4:ion_mobility_range:max,datafile:Sample4:ccs,datafile:Sample4:ion_mobility_unit,datafile:Sample4:area,datafile:Sample4:height,datafile:Sample4:intensity_range:min,datafile:Sample4:intensity_range:max,datafile:Sample4:charge,datafile:Sample4:fragment_scans,datafile:Sample4:isotopes,datafile:Sample4:tailing_factor,datafile:Sample4:asymmetry_factor,datafile:Sample4:ion_mobility,datafile:Sample4:msms_info,datafile:Sample4:rt_ms2_apex_distance
1,217.95665,217.95199,217.96169,0.2073,0.0041,0.4053,0.6271,0.6653,0,Vs/cm^2,5.936E1,1.352E3,1E2,1.352E3,,6,0.023,1,0,1,0,0,0,0,26,184,3,9,3,,,,,,,,,,,,,,,,,,,,,0.6489,ESTIMATED,217.9556,217.95397,217.95867,0.349,0.3207,0.4053,0.0189,0.6292,0.661,,Vs/cm^2,2.891E1,8.09E2,1.22E2,8.09E2,,,,1.4965,1.9929,0.6504,0,,ESTIMATED,217.95726,217.95431,217.959,0.2851,0.2757,0.2945,0.0188,0.6399,0.6589,,Vs/cm^2,8.72E0,6.7E2,1.03E2,6.7E2,,,,0.9982,0.9965,0.6462,0,,ESTIMATED,217.95694,217.9549,217.9596,0.3506,0.3409,0.3787,0.0336,0.6335,0.6632,,Vs/cm^2,2.429E1,9.27E2,2.64E2,9.27E2,,,,1.9523,2.9046,0.6377,0,,ESTIMATED,217.95745,217.95418,217.96122,0.3408,0.3314,0.3784,0.028,0.6292,0.6632,,Vs/cm^2,1.864E1,7.51E2,1.04E2,7.51E2,,,,2.5057,4.0115,0.6441,0,
2,161.09601,161.09238,161.10081,0.1787,0.0053,0.3787,0.5782,0.6186,0,Vs/cm^2,9.232E1,1.554E3,1.01E2,1.554E3,,22,0.093,4,4,0.957,3.34,0.00054,0.122,0.0064,2,72,3,1007,9,,,,,,,,,,,,,,,,,,,,,0.5972,DETECTED,161.09584,161.09238,161.09843,0.114,0.0765,0.1515,0.0792,0.5889,0.6101,,Vs/cm^2,5.167E1,9.513E2,3.522E2,9.513E2,,6,,1.0005,1.001,0.5995,6,-0.0018,DETECTED,161.09638,161.09261,161.10068,0.1629,0.1254,0.2005,0.0809,0.5867,0.6123,,Vs/cm^2,5.631E1,1.071E3,3.691E2,1.071E3,,1,,1.0006,1.0012,0.6016,1,0.0076,ESTIMATED,161.09647,161.09306,161.09912,0.1623,0.0967,0.1999,0.0606,0.5803,0.6101,,Vs/cm^2,4.25E1,7.66E2,2.3E2,7.66E2,,,,0.7864,0.5728,0.5952,0,,ESTIMATED,161.09612,161.09265,161.10072,0.1529,0.1247,0.1623,0.0421,0.5889,0.6123,,Vs/cm^2,2.575E1,1.073E3,1.45E2,1.073E3,,,,0.666,0.332,0.5952,0,
5,153.00349,152.99859,153.00851,0.1944,0.0041,0.3985,0.6229,0.6568,0,Vs/cm^2,8.881E1,6.16E2,8.466E1,6.16E2,,0,0.047,2,0,1,0.22,0.00003,0.0847,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,0.6399,ESTIMATED,153.00397,153.0024,153.00633,0.255,0.2079,0.3396,0.0228,0.625,0.6504,,Vs/cm^2,1.879E1,3.52E2,1E2,3.52E2,,,,1.3993,1.7986,0.6462,0,,ESTIMATED,153.0021,153.00066,153.00263,0.1723,0.0878,0.1911,0.0275,0.6229,0.6504,,Vs/cm^2,1.319E1,2.61E2,1.04E2,2.61E2,,,,0.6111,0.2222,0.6399,0,,ESTIMATED,153.00399,152.99912,153.00698,0.1811,0.1718,0.2093,0.0266,0.6271,0.6547,,Vs/cm^2,1.199E1,5.01E2,1.12E2,5.01E2,,,,2.0153,3.0306,0.6356,0,,ESTIMATED,153.00273,152.99876,153.00662,0.1341,0.0497,0.1435,0.688,0.6229,0.6526,,Vs/cm^2,1.454E1,3.76E2,1.12E2,3.76E2,,,,0.5559,0.1118,0.6462,0,
8,285.27863,285.27298,285.28524,0.2056,0.0041,0.5137,0.8503,0.9065,183.03,Vs/cm^2,4.327E2,5.405E3,1.09E2,5.405E3,1,169,0.605,26,25,0.893,6.74,0.00192,0.3131,0.0146,2,-1,3,1007,0,,,,,,,,,,,,,,,,,,,,,0.8778,ESTIMATED,285.2786,285.27309,285.28383,0.3865,0.3301,0.4146,0.0198,0.8628,0.894,,Vs/cm^2,7.605E1,2.174E3,1.09E2,2.174E3,,,,0.7495,0.499,0.8836,0,,DETECTED,285.27814,285.27354,285.28159,0.3226,0.2381,0.3602,0.089,0.8649,0.9024,,Vs/cm^2,1.275E2,1.404E3,7.848E2,1.404E3,,3,,0.7223,0.4447,0.8816,6,-0.0299,DETECTED,285.27853,285.27421,285.28226,0.1342,0.0056,0.3599,0.1326,0.8524,0.894,,Vs/cm^2,2.876E2,1.466E3,5.133E2,1.466E3,,19,,1.3771,1.7541,0.8753,39,-0.0619,ESTIMATED,285.27924,285.27336,285.28409,0.1623,0.1435,0.1904,0.0234,0.8649,0.894,,Vs/cm^2,5.509E1,2.161E3,4E2,2.161E3,,,,1.2496,1.4991,0.8774,0,
9,257.24738,257.24243,257.25289,0.2562,0.0041,0.6865,0.8126,0.8774,177.54,Vs/cm^2,1.045E3,4.067E3,1.11E2,4.067E3,1,65,0.395,17,13,0.899,6.22,0.0016,0.33,0.0188,2,35,9,1007,20,,,,,,,,,,,,,,,,,,,,,0.8407,ESTIMATED,257.24735,257.24406,257.2517,0.2926,0.255,0.3207,0.0783,0.8231,0.8691,,Vs/cm^2,1.098E2,2.871E3,7.8E2,2.871E3,,,,0.8745,0.7489,0.844,0,,ESTIMATED,257.24762,257.24447,257.25212,0.0502,0.0408,0.0784,0.0183,0.8315,0.8711,,Vs/cm^2,6.975E1,3.278E3,1.069E3,3.278E3,,,,2.0007,3.0013,0.8419,0,,ESTIMATED,257.24716,257.24256,257.25021,0.0122,0.0056,0.0309,0.0131,0.8189,0.8544,,Vs/cm^2,2.53E1,1.792E3,3.22E2,1.792E3,,,,1.9281,2.8563,0.8377,0,,DETECTED,257.24759,257.24429,257.25194,0.2656,0.0054,0.4066,0.3713,0.8168,0.8732,,Vs/cm^2,9.08E2,3.074E3,1.363E3,3.074E3,,6,,0.771,0.542,0.844,7,-0.2553
